Name,Chrom,Five_Prime_Coordinate,Three_Prime_Coordinate
HOXA2_p.V274F,chr7,27101037,27101037
BRAF_p.L485W ,chr7,140778054,140778054
CLTCL1_p.R354H,chr22,19234615,19234615
TTN_p.E8395K ,chr2,178715052,178715052
FEM1B_,chr2,177216892,177216892
PDCL3_p.E49D,chr2,100568944,100568944
DCDC1_p.T1379fs*2,chr11,30905134,30905134
KIF22_p.Q88K,chr16,29798664,29798664
MAMDC4_p.G1071E,chr9,136859904,136859904
WLS_p.I360N ,chr1,68144579,68144579
RPA1_p.R31H,chr17,1843927,1843927
ARL6_p.T181I,chr3,97791959,97791959
NOLC1_p.I687V,chr10,102162228,102162228
GOLGA2_p.R322W,chr9,128262652,128262652
CRTC1_p.P334L ,chr19,18765518,18765518
FEM1B_c.249-5T>C,chr15,68289602,68289602
UNK_p.R77fs*103,chr17,75809883,75809883
CLTCL1_p.R354H,chr22,19234615,19234615
MBP_p.G56R,chr18,77017242,77017242
ZNF729_p.C1134Y,chr19,22316818,22316818
